Reparto,Classe,Categoria,Valore
DIPEND,FOOD - ,SNACKDOL - ,27.5
DIPEND,FOOD - ,VERDURA - ,27.4487
DIPEND,FOOD - ,FARINA - ,26.6343
DIPEND,FOOD - ,PANE - ,16.735500000000002
DIPEND,FOOD - ,CEREALI - ,15.6569
DIPEND,FOOD - ,FRUTTSEC - ,5.2379999999999995
DIPEND,PULIZIA - ,DETERGEN - ,47.45
DIPEND,VARIE - ,MONOUSO - ,273.7067
DIPEND,VARIE - ,CARTBUSA - ,178.2918
EVENTI,BEVERAGE - ,SOFDRINK - ,119.98780000000001
EVENTI,BEVERAGE - ,CAFFETT - ,102.0
EVENTI,BEVERAGE - ,VINOBIAN - ,69.3
EVENTI,BEVERAGE - ,VINBOLL - ,69.0629
EVENTI,BEVERAGE - ,APERITIV - ,41.9936
EVENTI,BEVERAGE - ,VINOROSS - ,26.4
EVENTI,BEVERAGE - ,LATTE - ,4.8637
EVENTI,BEVERAGE - ,VINOROSE - ,-49.5
EVENTI,FOOD - ,SEMILDOL - ,757.9692
EVENTI,FOOD - ,PESCESUR - ,282.1857
EVENTI,FOOD - ,SEMILSAL - ,244.5742
EVENTI,FOOD - ,LATTICIN - ,151.7
EVENTI,FOOD - ,SALUMI - ,138.2551
EVENTI,FOOD - ,FRUTTFRE - ,76.3716
EVENTI,FOOD - ,OLIO - ,70.7783
EVENTI,FOOD - ,ORTAGGI - ,65.2267
EVENTI,FOOD - ,RISO - ,51.0
EVENTI,FOOD - ,PASTICCE - ,40.2188
EVENTI,FOOD - ,FORMAGG - ,18.3848
EVENTI,FOOD - ,CEREALI - ,12.5
EVENTI,FOOD - ,SCATOLAM - ,11.0271
EVENTI,FOOD - ,FARINA - ,8.290000000000001
EVENTI,FOOD - ,PASTAGRA - ,7.92
EVENTI,FOOD - ,MONODOLC - ,6.1575
EVENTI,FOOD - ,VERDURA - ,5.5945
EVENTI,FOOD - ,UOVA - ,5.3035
EVENTI,FOOD - ,PANE - ,1.1083
EVENTI,PULIZIA - ,STRPULIZ - ,19.5861
EVENTI,PULIZIA - ,DETERGEN - ,3.5294
EVENTI,VARIE - ,MONOUSO - ,400.95
EVENTI,VARIE - ,CARTBUSA - ,7.623
EVENTO,BEVERAGE - ,VINBOLL - ,57.5836
EVENTO,BEVERAGE - ,VINOBIAN - ,19.8
EVENTO,BEVERAGE - ,SOFDRINK - ,7.4664
EVENTO,BEVERAGE - ,LATTE - ,7.2958
EVENTO,FOOD - ,CARNEBIA - ,94.862
EVENTO,FOOD - ,CARNEROS - ,73.5
EVENTO,FOOD - ,PASTICCE - ,49.5
EVENTO,FOOD - ,SEMILDOL - ,25.2
EVENTO,FOOD - ,LATTICIN - ,15.0
EVENTO,FOOD - ,ORTAGGI - ,13.6967
EVENTO,FOOD - ,PASTAGRA - ,8.688
EVENTO,FOOD - ,FORMAGG - ,4.8555
EVENTO,FOOD - ,UOVA - ,3.889
EVENTO,FOOD - ,SCATOLAM - ,3.0857
EVENTO,VARIE - ,MONOUSO - ,13.5
EVENTOLU,FOOD - ,LATTICIN - ,90.0
EVENTOLU,FOOD - ,SEMILSAL - ,60.7
EVENTOLU,FOOD - ,PANE - ,13.6
EVENTOLU,FOOD - ,SCATOLAM - ,9.257
EVENTOLU,FOOD - ,PASTICCE - ,3.2
EVENTOLU,VARIE - ,MONOUSO - ,91.38
EVENTORE,FOOD - ,CARNEROS - ,64.5
EVENTORE,FOOD - ,FARINA - ,22.0
EVENTORE,FOOD - ,PASTAFRE - ,13.6
HSKCVM,FOOD - ,SPEZIECO - ,0.8137
HSKCVM,PULIZIA - ,STRPULIZ - ,280.86220000000003
HSKCVM,PULIZIA - ,DETERGEN - ,46.353
HSKCVM,VARIE - ,CARTBUSA - ,327.2665
HSKCVM,VARIE - ,CORTGEN - ,303.0753
HSKCVM,VARIE - ,CORTPERS - ,30.0535
HSKHOTEL,BEVERAGE - ,ACQUA - ,2949.3181
HSKHOTEL,BEVERAGE - ,CAFFETT - ,595.8849
HSKHOTEL,BEVERAGE - ,LIQUORI - ,176.0
HSKHOTEL,FOOD - ,MONODOLC - ,64.7264
HSKHOTEL,FOOD - ,SPEZIECO - ,64.3797
HSKHOTEL,MANUTENZ - ,MATIDRAU - ,53.28
HSKHOTEL,MANUTENZ - ,MATELETT - ,35.144000000000005
HSKHOTEL,MANUTENZ - ,MATEDILE - ,4.18
HSKHOTEL,MANUTENZ - ,STRMAN - ,2.665
HSKHOTEL,PULIZIA - ,STRPULIZ - ,2343.3668000000002
HSKHOTEL,PULIZIA - ,DETERGEN - ,810.7533999999999
HSKHOTEL,VARIE - ,CORTGEN - ,9050.8089
HSKHOTEL,VARIE - ,CARTBUSA - ,4545.7703
HSKHOTEL,VARIE - ,MONOUSO - ,1282.6277
HSKHOTEL,VARIE - ,CORTPERS - ,474.8083
HSKHOTEL,VARIE - ,CANCELLE - ,19.9753
HSKRES,BEVERAGE - ,ACQUA - ,7.1906
HSKRES,FOOD - ,SPEZIECO - ,46.012499999999996
HSKRES,PULIZIA - ,STRPULIZ - ,968.8779
HSKRES,PULIZIA - ,DETERGEN - ,387.2313
HSKRES,VARIE - ,CORTGEN - ,1794.6807000000001
HSKRES,VARIE - ,CARTBUSA - ,1318.1447
HSKRES,VARIE - ,CORTPERS - ,228.6865
IMBARCAZ,BEVERAGE - ,ACQUA - ,171.4371
IMBARCAZ,BEVERAGE - ,BIRRE - ,68.84
IMBARCAZ,BEVERAGE - ,APERITIV - ,54.721000000000004
IMBARCAZ,BEVERAGE - ,VINBOLL - ,21.4799
IMBARCAZ,FOOD - ,MONODOLC - ,2.5905
IMBARCAZ,PULIZIA - ,DETERGEN - ,24.634600000000002
IMBARCAZ,PULIZIA - ,STRPULIZ - ,7.3645
IMBARCAZ,VARIE - ,CARTBUSA - ,13.5408
IMBARCAZ,VARIE - ,MONOUSO - ,5.4
MANCVM,MANUTENZ - ,STRMAN - ,1.62
MANHOTEL,ATTREZZ - ,AT.HSK - ,4.92
MANHOTEL,MANUTENZ - ,VERNPITT - ,2948.2300999999998
MANHOTEL,MANUTENZ - ,MATEDILE - ,1763.032
MANHOTEL,MANUTENZ - ,MATIDRAU - ,574.99
MANHOTEL,MANUTENZ - ,MATELETT - ,571.6977
MANHOTEL,MANUTENZ - ,MAT.VARI - ,455.0723
MANHOTEL,MANUTENZ - ,STRMAN - ,128.1908
MANHOTEL,MANUTENZ - ,GIARDINA - ,14.73
MANHOTEL,PULIZIA - ,DETERGEN - ,67.3412
MANHOTEL,PULIZIA - ,STRPULIZ - ,6.2836
MANHOTEL,VARIE - ,RICECONS - ,68.475
MANHOTEL,VARIE - ,MATEDILE - ,10.25
MANHOTEL,VARIE - ,CANPERS - ,10.0
MANRESID,MANUTENZ - ,MAT.VARI - ,62.7
MANRESID,MANUTENZ - ,MATELETT - ,1.526
POOLHTL,VARIE - ,PROPOOL - ,895.6252
POOLRES,VARIE - ,PROPOOL - ,2890.1514
PROPRIET,BEVERAGE - ,SOFDRINK - ,57.6639
PROPRIET,BEVERAGE - ,VINOROSS - ,56.0
PROPRIET,BEVERAGE - ,ACQUA - ,25.0301
PROPRIET,BEVERAGE - ,CAFFETT - ,17.0
PROPRIET,BEVERAGE - ,LATTE - ,4.6174
PROPRIET,BEVERAGE - ,VINOBIAN - ,2.6652
PROPRIET,FOOD - ,FRUTTFRE - ,1172.4617
PROPRIET,FOOD - ,PESCEFRE - ,231.0446
PROPRIET,FOOD - ,SEMILDOL - ,215.6909
PROPRIET,FOOD - ,ORTAGGI - ,208.4552
PROPRIET,FOOD - ,FORMAGG - ,161.5794
PROPRIET,FOOD - ,CARNEROS - ,119.40119999999999
PROPRIET,FOOD - ,SCATOLAM - ,94.792
PROPRIET,FOOD - ,FRUTTSEC - ,46.08
PROPRIET,FOOD - ,OLIO - ,39.168
PROPRIET,FOOD - ,PANE - ,25.869999999999997
PROPRIET,FOOD - ,PASTAFRE - ,24.0
PROPRIET,FOOD - ,LATTICIN - ,9.728
PROPRIET,FOOD - ,PASTAGRA - ,8.4803
PROPRIET,FOOD - ,SPEZIECO - ,5.9584
PROPRIET,FOOD - ,PASTICCE - ,4.5367
PROPRIET,FOOD - ,MONODOLC - ,2.7154
PROPRIET,MANUTENZ - ,GIARDINA - ,14.75
PROPRIET,MANUTENZ - ,STRMAN - ,5.33
PROPRIET,MANUTENZ - ,MAT.VARI - ,0.49
PROPRIET,PROPDIRE - ,PROPDIRE - ,2902.69
PROPRIET,PULIZIA - ,DETERGEN - ,499.8064
PROPRIET,PULIZIA - ,STRPULIZ - ,36.3882
PROPRIET,VARIE - ,MONOUSO - ,297.2173
PROPRIET,VARIE - ,CARTBUSA - ,175.9251
PROPRIET,VARIE - ,PROCUCIN - ,21.0667
PROPRIET,VARIE - ,CANPERS - ,10.0
PROPRIET,VARIE - ,RICECONS - ,0.1195
RECEP,BEVERAGE - ,ACQUA - ,406.9642
RECEP,VARIE - ,CANCELLE - ,207.8907
RECEP,VARIE - ,CARTBUSA - ,123.0822
RECEP,VARIE - ,CANPERS - ,65.1248
RECEP,VARIE - ,MONOUSO - ,19.0615
UFFICI,BEVERAGE - ,ACQUA - ,212.9374
UFFICI,BEVERAGE - ,CAFFETT - ,3.0042
UFFICI,MANUTENZ - ,MAT.VARI - ,8.6064
UFFICI,VARIE - ,CARTBUSA - ,60.0959
UFFICI,VARIE - ,CANCELLE - ,34.7066
UFFICI,VARIE - ,CANPERS - ,20.0
UFFICI,VARIE - ,MONOUSO - ,5.3378
