Reparto,Classe,Categoria,Codice,Descrizione,Valore,Mese,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Anno
CANTINA,BEVERAGE - ,CAFFETT - ,BEV.CAF.00012,CREMA CAFFE,39.0,07,PZ,PZ,1.0,19.5,2,2024
CANTINA,BEVERAGE - ,DISTILL - ,BEV.DIS.00004,DISTILLATO TEQUILA JOSE' CUERVO,2.472,07,LT,CL,100.0,16.608,0.15,2024
CANTINA,BEVERAGE - ,GIN - ,BEV.GIN.00003,GIN HENDRIK'S,7.1898,07,LT,CL,100.0,35.9489,0.2,2024
CANTINA,BEVERAGE - ,GIN - ,BEV.GIN.00005,GIN MARE,3.7322,07,LT,CL,100.0,37.3224,0.1,2024
CANTINA,BEVERAGE - ,GIN - ,BEV.GIN.00006,GIN BROKER'S,6.5517,07,LT,CL,100.0,8.073,1,2024
CANTINA,BEVERAGE - ,GIN - ,BEV.GIN.00007,GIN MALFY,6.9029,07,LT,CL,100.0,34.5143,0.2,2024
CANTINA,BEVERAGE - ,GUARTOP - ,BEV.GUA.00003,SCIROPPO COCCO,20.7886,07,LT,CL,100.0,9.823,1.7,2024
CANTINA,BEVERAGE - ,GUARTOP - ,BEV.GUA.00005,ANGOSTURA,12.5,07,BT,CL,20.0,12.5,1,2024
CANTINA,BEVERAGE - ,GUARTOP - ,BEV.GUA.00006,SCIROPPO ZUCCHERO DI CANNA,5.3952,07,LT,CL,100.0,9.1291,0.7,2024
CANTINA,BEVERAGE - ,GUARTOP - ,BEV.GUA.00007,SCIROPPO FIORI DI SAMBUCO 70CL,22.336,07,LT,CL,100.0,14.5805,1.4,2024
CANTINA,BEVERAGE - ,LIQUORI - ,BEV.LIQ.00002,LIQUORE CREMA DI LIMONCELLO,4.0,07,LT,CL,100.0,20.0,0.2,2024
CANTINA,BEVERAGE - ,LIQUORI - ,BEV.LIQ.00022,LIQUORE KALHUA,11.368,07,LT,CL,100.0,16.445,0.7,2024
CANTINA,BEVERAGE - ,LIQUORI - ,BEV.LIQ.00023,LIQUORE LIMONCELLO VILLA MASSA,29.9688,07,LT,CL,100.0,14.9844,2,2024
CANTINA,BEVERAGE - ,LIQUORI - ,BEV.LIQ.00027,LIQUORE LIMONCELLO TENTAZIONI LT.2,31.2,07,LT,CL,100.0,7.5217,4,2024
CANTINA,BEVERAGE - ,RUM - ,BEV.RUM.00002,RUM BACARDI CARTA BLANCA,54.7489,07,LT,CL,100.0,14.258,4.2,2024
CANTINA,BEVERAGE - ,RUM - ,BEV.RUM.00004,RUM PAMPERO,24.0,07,LT,CL,100.0,11.0044,2,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00003,SUCCO ARANCIA AMITA 20CL X 24,9.12,07,BT,BT,1.0,0.48,19,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,2.814,07,BT,BT,1.0,0.697,4,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00005,SUCCO POMPELMO AMITA 20CL X 24,0.48,07,BT,BT,1.0,0.48,1,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00006,SUCCO ACE AMITA 20CL X 24,2.5366,07,BT,BT,1.0,0.4979,5,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00007,SUCCO PERA AMITA 20CL X 24,3.605,07,BT,BT,1.0,0.4879,7,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00008,SUCCO ANANAS AMITA 20CL X 24,4.6403,07,BT,BT,1.0,0.6387,7,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00009,SUCCO MELA VERDE AMITA 20CL X 24,1.4979,07,BT,BT,1.0,0.4885,3,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00010,SUCCO ALBICOCCA AMITA 20CL X 24,3.904,07,BT,BT,1.0,0.488,8,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00014,COCA COLA 33CL X 24 VAP,93.8071,07,BT,BT,1.0,0.7661,124,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00016,SCHWEPES GINGER ALE 18CL X 24,0.6764,07,BT,BT,1.0,0.6177,1,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00017,"LIMONATA LURISIA 27,5CL X 24",16.83,07,BT,BT,1.0,0.99,17,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00018,LEMONSODA 20CL X 24 VAP,12.1276,07,BT,BT,1.0,0.4436,28,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00023,CEDRATA TASSONI 18CL X 25,5.5539,07,BT,BT,1.0,0.6815,9,2024
