Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo_Periodo,Secondo_Periodo,Valore,Mese,Anno,Row_Type,Reparto_Dir,Reparto_Filled,Classe_Filled,Categoria_Filled
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,55,24.0625,24.0625,24.0625,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANPERS - 
,,CARTBUSA - ,,,,,,,,53.82,53.82,53.82,07,2024,Categoria,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,18,53.82,53.82,53.82,07,2024,Articolo,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,MONOUSO - ,,,,,,,,6.544,6.544,6.544,07,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,7,5.544,5.544,5.544,07,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00013,BICCHIERI PLASTICA KRISTAL 16CL30CFX100P,CF,CF,1.0,1.0,1,1.0,1.0,1.0,07,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,205.5645,205.5645,205.5645,07,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
RECEP,,,,,,,,,,67.3552,67.3552,67.3552,04,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,59.8484,59.8484,59.8484,04,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,59.8484,59.8484,59.8484,04,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,48,5.6697,5.6697,5.6697,04,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,360,54.1787,54.1787,54.1787,04,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,VARIE - ,,,,,,,,,7.5068,7.5068,7.5068,04,2024,Classe,RECEP,RECEP,VARIE - ,
,,CANCELLE - ,,,,,,,,6.5651,6.5651,6.5651,04,2024,Categoria,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,1,0.385,0.385,0.385,04,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,5,1.9446,1.9446,1.9446,04,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,2,2.1262,2.1262,2.1262,04,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00016,SCOTCH 19MMX33M,PZ,PZ,1.0,0.5179,1,0.5179,0.5179,0.5179,04,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,3,1.5914,1.5914,1.5914,04,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,MONOUSO - ,,,,,,,,0.9417,0.9417,0.9417,04,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,2,0.9417,0.9417,0.9417,04,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,67.3552,67.3552,67.3552,04,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
RECEP,,,,,,,,,,57.1087,57.1087,57.1087,05,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,47.1495,47.1495,47.1495,05,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,47.1495,47.1495,47.1495,05,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,48,5.6688,5.6688,5.6688,05,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,276,41.4807,41.4807,41.4807,05,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,VARIE - ,,,,,,,,,9.9592,9.9592,9.9592,05,2024,Classe,RECEP,RECEP,VARIE - ,
,,CANCELLE - ,,,,,,,,7.9575,7.9575,7.9575,05,2024,Categoria,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,15,7.9575,7.9575,7.9575,05,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,MONOUSO - ,,,,,,,,2.0017,2.0017,2.0017,05,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,3,2.0017,2.0017,2.0017,05,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,57.1087,57.1087,57.1087,05,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
RECEP,,,,,,,,,,157.7359,157.7359,157.7359,08,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,77.3562,77.3562,77.3562,08,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,77.3562,77.3562,77.3562,08,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,119,17.6562,17.6562,17.6562,08,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,398,59.7,59.7,59.7,08,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,VARIE - ,,,,,,,,,80.3797,80.3797,80.3797,08,2024,Classe,RECEP,RECEP,VARIE - ,
,,CANCELLE - ,,,,,,,,51.9612,51.9612,51.9612,08,2024,Categoria,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00012,POST-IT 50X38MM,PZ,PZ,1.0,0.4964,20,9.928,9.928,9.928,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,19,26.6,26.6,26.6,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,13,4.3589,4.3589,4.3589,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
